Titre,Année de publication,Pages,Nombre de lecteurs,Note moyenne,Genres
The Invisible Life of Addie LaRue,2020,448,1298512,4.18,"['Fantasy', 'Fiction', 'Romance', 'Historical Fiction', 'Adult', 'Historical', 'Magical Realism', 'adult', 'arc', 'buddy-reads', 'adult', 'all-time-faves', 'contemporary', 'late-night-book-club', 'read-2021', 'reviewed', '451-degrees-fahrenheit', '2000-present', 'fantastic-lit-and-co', 'in-english', '2020-reads', '2020', '5-star', 'fav-villains', 'adult', 'adult-sff', 'arc', '1-star', 'buddy-reads', 'cringefest', '1-and-a-half-stars', 'beautifully-written', 'fantasy', '2020', 'fantasy', 'arcs-read', 'owned', 'queer', '2021-books', 'i-own', 'comfort-reads', 'depressing', 'favorites', 'favourites', '2020', '2020-releases', 'arc', 'favorites', 'the-stars-around-my-scars', '5-star-books', 'all-time-favorites', 'amazing-ending']"
The House in the Cerulean Sea,2020,394,793548,4.39,"['Fantasy', 'Fiction', 'LGBT', 'Romance', 'Audiobook', 'Queer', 'Young Adult', 'adult', 'adult-romance', 'adult-sff', '1-star', 'diverse', 'fantasy', 'book-club', 'fantasy', 'reviewed', 'favorites', '2020-read', 'audiobook', 'young-adult', 'mine', '2021-reads', 'adult', 'fantasy', '2020-books', 'favorites', 'i-own', '2020-releases', 'audiobooks', 'found-family', '2020', '5-star', 'exceeded-expectations', 'cozy-vibes', 'fantasy', 'in-my-home-library', 'fae', 'fantasy', 'favorites-2020', 'i-fell-in-love', 'lgbtqia', 'mental-health', 'cozy', 'favorites', 'lgbtq', 'age-category-adult', 'fiction-fantasy', 'fiction-lgbtq', 'fantasy', 'favorites', 'audiobook', 'buddy-reads', 'fantasy']"
Project Hail Mary,2021,476,745166,4.5,"['Science Fiction', 'Fiction', 'Audiobook', 'Fantasy', 'Space', 'Thriller', 'Adult', '2021-reads', 'favorites', 'hugo-nebula-nominees-and-winners', '2021-releases', 'adapted-to-screen', 'chuck-it-out-the-window', '2021', 'sci-fi', 'favorites', '2021', '2021', 'sci-fi', '5-stars', 'favorites', 'hardback-own', '5-star-books', '500-or-more-pages', 'adult', 'arcs-read', '2021', 'exceeded-expectations', 'made-me-cry', 'arcs-and-review-copies', '2021', 'science-fiction', 'weir-andy', 'fantasy-sf', 'books-of-the-year-2021', 'fiction', 'mystery', 'netgalley', 'netgalley-2021', '2-and-a-half-stars', 'eh', 'non-ya', 'friend-recommended', 'humor', 'sci-fi', 'aliens', 'book-club', 'comfort-reads']"
The Midnight Library,2020,288,2140879,3.99,"['Fiction', 'Fantasy', 'Audiobook', 'Contemporary', 'Magical Realism', 'Science Fiction', 'Mental Health', '2021-reads', '5-star-books', 'adult', 'all-time-favorites', '2020', 'audiobooks', 'fiction', 'grcoicefinal', 'love-the-love', 'literary-fiction', 'netgalley', '3-stars', 'eh', 'fantasy', '2023', 'magic-realism', 'general-fiction', '2020-releases', 'arc', 'favorites', '2022-reads', 'adult', 'fantasy', '2021', 'cover-love', 'british', 'philosophy-theology', 'netgalley', '2021', 'audio', 'fantasy', 'fab-book-club-books', 'five-star-reads', 'vernal-virtual-book-club', '2020', 'all-time-favourites-for-shelf', 'amazing-filled-my-heart-and-soul-re', 'applause-applause']"
I'm Glad My Mom Died,2022,320,1261536,4.45,"['Nonfiction', 'Memoir', 'Audiobook', 'Biography', 'Autobiography', 'Mental Health', 'Adult', 'mem-wars', 'nonfiction', '0-top-reads-of-2022', '5-stars', 'biography-memoir', 'reviewed', '2024', 'memoirs-or-bios', 'nonfiction', 'read-in-2022', '3-and-a-half-stars', 'memoir', 'non-ya', '2022-favorites', '2022', 'nonfiction', '2022-favorites', '5-star-reads', 'memoir', '2022', '2022-favorites', '5-stars', 'memoir', 'trauma', 'america', 'letto-in-lingua', 'memoir', '2024-the-year-of-weird-smut', 'favorites']"
Fourth Wing,2023,498,2715838,4.58,"['Romantasy', 'Dragons', 'Fiction', 'Audiobook', 'Enemies To Lovers', 'Fantasy Romance', 'Magic', '5-stars-crème-de-la-crème', 'atmospheric-beautiful-cozy-setting', 'baddest-bitch-of-all', '5-star-gems', 'blankets-and-cuddles', 'book-supremacy', 'boy-obsessed', 'fantasy-books', 'jealousy-angst-possessive', '1-one-star-books', 'academia-romance', 'advance-reader-copy', 'drama', '0-stars-problematic-author', '1-and-a-half-star', 'books-2023', '2023-reads', 'favorites', 'favorites', 'top-romantasy-recs', 'you-should-never-write-again', 'favorite-series', 'favorites', '6-star-reads', 'romantasy-favorites', 'buddy-reads']"
The Ballad of Songbirds and Snakes,2020,541,923022,3.98,"['Dystopia', 'Young Adult', 'Fantasy', 'Fiction', 'Audiobook', 'Science Fiction', 'Romance', '2020-reads', 'i-also-saw-the-film', 'blank-of-blank-and-blank', 'help-help-i-m-being-repressed', 'i-came-i-saw-i-yeeted', '2020', 'dystopia-utopia', 'young-adult', '2020', 'dystopias-post-apocalyptic', 'i-am-so-over-you', '1-and-a-half-stars', 'dystopian', 'nope', '2020-releases', 'desperately-want-to-read', 'grabby-hands', 'panicking', 'miami-library', 'own-hardcover', 'read-in-2020', 'all-time-faves', 'dystopia-utopia', 'faves', '2020-releases', 'bookstagram-made-me-do-it', '500-599-pp', 'author-american', 'genre-dystopian', 'all-time-favorites', 'grchoice_round1', 'published2020', 'tucker_recs', 'fantasy', 'fiction', 'science-fiction', '2020-release', 'dystopia', 'almost-and-former-dnfs', 'consider-me-disappointed', 'dio-mio-no']"
Piranesi,2020,272,362927,4.22,"['Fantasy', 'Fiction', 'Mystery', 'Magical Realism', 'Mythology', 'Adult', 'Literary Fiction', '2020-reads', 'hugo-nebula-nominees-and-winners', 'location-is-the-true-protagonist', 'fantasy', '2020', '2022-books', 'favorites', 'i-own', 'adult', 'recommended', 'adult', 'adult-sff', 'arc', 'favorites', 'labyrinth', 'surreal', 'too_cool_for_school', '2020-releases', 'read-in-2020', '2-and-a-half-stars', 'eh', 'fantasy', 'donne', 'fantasy', 'arc-provided-by-publisher', 'audiobooks', 'sci-fi-fantasy', 'botm', 'fantasy-all', 'hardback-own', 'adult', 'fantasy', 'favorites', 'owned', '2022', 'favorites', 'to-reread', '2020-reads', 'adult-books', 'arcs', '4-star-reads', 'fantasy']"
Lessons in Chemistry,2022,390,1578078,4.28,"['Fiction', 'Historical Fiction', 'Audiobook', 'Feminism', 'Historical', 'Book Club', 'Adult', '2022-reads', 'buddy-read-with-marialyce', 'fantasy', 'favorites', 'review-copy', '2022', 'historical', 'edelweiss', 'literature', 'netgalley', 'netgalley-2021', 'anb_nope', 'historical-fiction', 'humour-comic-fiction', 'netgalley', 'buddy-read', 'general-fiction', 'netgalley', '2022', 'audiobook', 'female-author', '2023', '5-star-favorites', 'american-literature', '2024', 'best-of-2022', 'book-clubs', 'netgalley', 'advanced-reading-copy', 'humorous-fiction', 'literary-fiction', 'autism-maybe', 'feminism-patriarchy-gender-roles', 'humour', 'modern-mrs-darcy-book-club', 'arc-copy', 'historical-fiction', 'kindle-books']"
"Tomorrow, and Tomorrow, and Tomorrow",2022,401,1163161,4.14,"['Fiction', 'Contemporary', 'Romance', 'Audiobook', 'Literary Fiction', 'Historical Fiction', 'Adult', '0-in-my-library-read', '0-top-reads-of-2022', '5-stars', 'netgalley', '2022', 'contemporary', '2022-favs', 'ya', '3-stars', 'authors-of-color', 'contemporary', 'owned', '2023', 'cover-love', 'exceeded-expectations', 'adult-fiction', 'realistic-fiction', 'romance', 'audiobook', 'the-stars-around-my-scars', '2023-books', 'audio', 'hoopla-libby', 'literary-fiction', 'netgalley', '2022-books', 'all-time-faves', 'audiobook-recs', '2022', 'all-time-faves', 'contemporary-fiction', 'five-star', 'literature', 'arc-provided-by-publisher', 'audiobooks', 'favorites']"
